codigo;nome;periodo;carga;submercado
1;BARRA 1;1;2.764705882;1
2;BARRA 2;1;2.764705882;1
3;BARRA 3;1;2.764705882;1
4;BARRA 4;1;2.764705882;1
5;BARRA 5;1;2.764705882;1
6;BARRA 6;1;2.764705882;1
7;BARRA 7;1;2.764705882;1
8;BARRA 8;1;2.764705882;1
9;BARRA 9;1;2.764705882;1
10;BARRA 10;1;2.764705882;1
11;BARRA 11;1;0;1
12;BARRA 12;1;0;1
13;BARRA 13;1;2.764705882;1
14;BARRA 14;1;2.764705882;1
15;BARRA 15;1;2.764705882;1
16;BARRA 16;1;2.764705882;1
17;BARRA 17;1;0;1
18;BARRA 18;1;2.764705882;1
19;BARRA 19;1;2.764705882;1
20;BARRA 20;1;2.764705882;1
21;BARRA 21;1;0;1
22;BARRA 22;1;0;1
23;BARRA 23;1;0;1
24;BARRA 24;1;0;1
1;BARRA 1;2;2.588235294;1
2;BARRA 2;2;2.588235294;1
3;BARRA 3;2;2.588235294;1
4;BARRA 4;2;2.588235294;1
5;BARRA 5;2;2.588235294;1
6;BARRA 6;2;2.588235294;1
7;BARRA 7;2;2.588235294;1
8;BARRA 8;2;2.588235294;1
9;BARRA 9;2;2.588235294;1
10;BARRA 10;2;2.588235294;1
11;BARRA 11;2;0;1
12;BARRA 12;2;0;1
13;BARRA 13;2;2.588235294;1
14;BARRA 14;2;2.588235294;1
15;BARRA 15;2;2.588235294;1
16;BARRA 16;2;2.588235294;1
17;BARRA 17;2;0;1
18;BARRA 18;2;2.588235294;1
19;BARRA 19;2;2.588235294;1
20;BARRA 20;2;2.588235294;1
21;BARRA 21;2;0;1
22;BARRA 22;2;0;1
23;BARRA 23;2;0;1
24;BARRA 24;2;0;1
1;BARRA 1;3;2.529411765;1
2;BARRA 2;3;2.529411765;1
3;BARRA 3;3;2.529411765;1
4;BARRA 4;3;2.529411765;1
5;BARRA 5;3;2.529411765;1
6;BARRA 6;3;2.529411765;1
7;BARRA 7;3;2.529411765;1
8;BARRA 8;3;2.529411765;1
9;BARRA 9;3;2.529411765;1
10;BARRA 10;3;2.529411765;1
11;BARRA 11;3;0;1
12;BARRA 12;3;0;1
13;BARRA 13;3;2.529411765;1
14;BARRA 14;3;2.529411765;1
15;BARRA 15;3;2.529411765;1
16;BARRA 16;3;2.529411765;1
17;BARRA 17;3;0;1
18;BARRA 18;3;2.529411765;1
19;BARRA 19;3;2.529411765;1
20;BARRA 20;3;2.529411765;1
21;BARRA 21;3;0;1
22;BARRA 22;3;0;1
23;BARRA 23;3;0;1
24;BARRA 24;3;0;1
1;BARRA 1;4;2.470588235;1
2;BARRA 2;4;2.470588235;1
3;BARRA 3;4;2.470588235;1
4;BARRA 4;4;2.470588235;1
5;BARRA 5;4;2.470588235;1
6;BARRA 6;4;2.470588235;1
7;BARRA 7;4;2.470588235;1
8;BARRA 8;4;2.470588235;1
9;BARRA 9;4;2.470588235;1
10;BARRA 10;4;2.470588235;1
11;BARRA 11;4;0;1
12;BARRA 12;4;0;1
13;BARRA 13;4;2.470588235;1
14;BARRA 14;4;2.470588235;1
15;BARRA 15;4;2.470588235;1
16;BARRA 16;4;2.470588235;1
17;BARRA 17;4;0;1
18;BARRA 18;4;2.470588235;1
19;BARRA 19;4;2.470588235;1
20;BARRA 20;4;2.470588235;1
21;BARRA 21;4;0;1
22;BARRA 22;4;0;1
23;BARRA 23;4;0;1
24;BARRA 24;4;0;1
1;BARRA 1;5;2.529411765;1
2;BARRA 2;5;2.529411765;1
3;BARRA 3;5;2.529411765;1
4;BARRA 4;5;2.529411765;1
5;BARRA 5;5;2.529411765;1
6;BARRA 6;5;2.529411765;1
7;BARRA 7;5;2.529411765;1
8;BARRA 8;5;2.529411765;1
9;BARRA 9;5;2.529411765;1
10;BARRA 10;5;2.529411765;1
11;BARRA 11;5;0;1
12;BARRA 12;5;0;1
13;BARRA 13;5;2.529411765;1
14;BARRA 14;5;2.529411765;1
15;BARRA 15;5;2.529411765;1
16;BARRA 16;5;2.529411765;1
17;BARRA 17;5;0;1
18;BARRA 18;5;2.529411765;1
19;BARRA 19;5;2.529411765;1
20;BARRA 20;5;2.529411765;1
21;BARRA 21;5;0;1
22;BARRA 22;5;0;1
23;BARRA 23;5;0;1
24;BARRA 24;5;0;1
1;BARRA 1;6;2.647058824;1
2;BARRA 2;6;2.647058824;1
3;BARRA 3;6;2.647058824;1
4;BARRA 4;6;2.647058824;1
5;BARRA 5;6;2.647058824;1
6;BARRA 6;6;2.647058824;1
7;BARRA 7;6;2.647058824;1
8;BARRA 8;6;2.647058824;1
9;BARRA 9;6;2.647058824;1
10;BARRA 10;6;2.647058824;1
11;BARRA 11;6;0;1
12;BARRA 12;6;0;1
13;BARRA 13;6;2.647058824;1
14;BARRA 14;6;2.647058824;1
15;BARRA 15;6;2.647058824;1
16;BARRA 16;6;2.647058824;1
17;BARRA 17;6;0;1
18;BARRA 18;6;2.647058824;1
19;BARRA 19;6;2.647058824;1
20;BARRA 20;6;2.647058824;1
21;BARRA 21;6;0;1
22;BARRA 22;6;0;1
23;BARRA 23;6;0;1
24;BARRA 24;6;0;1
1;BARRA 1;7;2.764705882;1
2;BARRA 2;7;2.764705882;1
3;BARRA 3;7;2.764705882;1
4;BARRA 4;7;2.764705882;1
5;BARRA 5;7;2.764705882;1
6;BARRA 6;7;2.764705882;1
7;BARRA 7;7;2.764705882;1
8;BARRA 8;7;2.764705882;1
9;BARRA 9;7;2.764705882;1
10;BARRA 10;7;2.764705882;1
11;BARRA 11;7;0;1
12;BARRA 12;7;0;1
13;BARRA 13;7;2.764705882;1
14;BARRA 14;7;2.764705882;1
15;BARRA 15;7;2.764705882;1
16;BARRA 16;7;2.764705882;1
17;BARRA 17;7;0;1
18;BARRA 18;7;2.764705882;1
19;BARRA 19;7;2.764705882;1
20;BARRA 20;7;2.764705882;1
21;BARRA 21;7;0;1
22;BARRA 22;7;0;1
23;BARRA 23;7;0;1
24;BARRA 24;7;0;1
1;BARRA 1;8;2.882352941;1
2;BARRA 2;8;2.882352941;1
3;BARRA 3;8;2.882352941;1
4;BARRA 4;8;2.882352941;1
5;BARRA 5;8;2.882352941;1
6;BARRA 6;8;2.882352941;1
7;BARRA 7;8;2.882352941;1
8;BARRA 8;8;2.882352941;1
9;BARRA 9;8;2.882352941;1
10;BARRA 10;8;2.882352941;1
11;BARRA 11;8;0;1
12;BARRA 12;8;0;1
13;BARRA 13;8;2.882352941;1
14;BARRA 14;8;2.882352941;1
15;BARRA 15;8;2.882352941;1
16;BARRA 16;8;2.882352941;1
17;BARRA 17;8;0;1
18;BARRA 18;8;2.882352941;1
19;BARRA 19;8;2.882352941;1
20;BARRA 20;8;2.882352941;1
21;BARRA 21;8;0;1
22;BARRA 22;8;0;1
23;BARRA 23;8;0;1
24;BARRA 24;8;0;1
1;BARRA 1;9;2.941176471;1
2;BARRA 2;9;2.941176471;1
3;BARRA 3;9;2.941176471;1
4;BARRA 4;9;2.941176471;1
5;BARRA 5;9;2.941176471;1
