posto;periodo;afluencia
1;1;21.618
1;2;21.658
1;3;21.684
1;4;21.678
1;5;21.66
1;6;21.574
1;7;21.584
1;8;21.56
1;9;21.522
1;10;21.508
1;11;21.536
1;12;21.54
1;13;21.486
1;14;21.38
1;15;21.284
1;16;21.228
1;17;21.172
1;18;21.188
1;19;21.11
1;20;21.114
1;21;21.076
1;22;21.046
1;23;20.982
1;24;20.89
1;25;20.82
1;26;20.77
1;27;20.718
1;28;20.632
1;29;20.572
1;30;20.524
1;31;20.532
1;32;20.408
1;33;20.384
1;34;20.318
1;35;20.226
1;36;20.208
1;37;20.228
1;38;20.198
1;39;20.134
1;40;20.056
1;41;19.944
1;42;19.78
1;43;19.65
1;44;19.572
1;45;19.408
1;46;19.328
1;47;19.292
1;48;19.22
1;49;18.98
1;50;18.896
1;51;18.796
1;52;18.73
1;53;18.75
1;54;18.764
1;55;18.628
1;56;18.548
1;57;18.534
1;58;18.46
1;59;18.326
1;60;18.204
1;61;18.21
1;62;18.192
1;63;18.19
1;64;18.1
1;65;17.956
1;66;17.85
1;67;17.894
1;68;17.872
1;69;17.858
1;70;17.77
1;71;17.716
1;72;17.664
1;73;17.602
1;74;17.478
1;75;17.36
1;76;17.424
1;77;17.49
1;78;17.512
1;79;17.542
1;80;17.612
1;81;17.606
1;82;17.622
1;83;17.682
1;84;17.75
1;85;17.76
1;86;17.836
1;87;17.956
1;88;17.904
1;89;17.8
1;90;17.69
1;91;17.57
1;92;17.494
1;93;17.532
1;94;17.634
1;95;17.62
1;96;17.6
1;97;17.586
1;98;17.576
1;99;17.502
1;100;17.576
1;101;17.654
1;102;17.792
1;103;17.89
1;104;17.944
1;105;17.93
1;106;17.886
1;107;17.934
1;108;17.994
1;109;18.148
1;110;18.266
1;111;18.38
1;112;18.464
1;113;18.484
1;114;18.578
1;115;18.664
1;116;18.738
1;117;18.754
1;118;18.834
1;119;18.93
1;120;19.056
1;121;19.134
1;122;19.142
1;123;19.212
1;124;19.29
1;125;19.444
1;126;19.534
1;127;19.61
1;128;19.63
1;129;19.764
1;130;19.826
1;131;19.87
1;132;19.92
1;133;19.98
1;134;20.13
1;135;20.19
1;136;20.294
1;137;20.452
1;138;20.568
1;139;20.646
1;140;20.776
1;141;20.866
1;142;20.954
1;143;21.044
1;144;21.076
1;145;21.096
1;146;21.12
1;147;21.218
1;148;21.252
1;149;21.256
1;150;21.482
1;151;21.548
1;152;21.572
1;153;21.562
1;154;21.544
1;155;21.566
1;156;21.584
1;157;21.626
1;158;21.622
1;159;21.672
1;160;21.818
1;161;21.746
1;162;21.816
1;163;21.82
1;164;21.846
1;165;21.856
1;166;21.902
1;167;21.892
1;168;21.922
2;1;27.446
2;2;27.546
2;3;27.63
2;4;27.654
2;5;27.704
2;6;27.744
2;7;27.806
2;8;27.808
2;9;27.928
2;10;27.93
2;11;28.058
2;12;28.168
2;13;28.078
2;14;27.994
2;15;27.968
2;16;27.986
2;17;28.148
2;18;28.032
2;19;28.014
2;20;28.02
2;21;27.902
2;22;27.898
2;23;27.838
2;24;27.762
2;25;27.768
2;26;27.924
2;27;27.814
2;28;27.808
2;29;27.618
2;30;27.686
2;31;27.61
2;32;27.636
2;33;27.624
2;34;27.434
2;35;27.406
2;36;27.332
2;37;27.27
2;38;27.09
2;39;27.078
2;40;27.012
2;41;26.822
2;42;26.714
2;43;26.636
2;44;26.498
2;45;26.398
2;46;26.324
2;47;26.192
2;48;26.144
2;49;26.014
2;50;25.922
2;51;25.91
2;52;25.8
2;53;25.766
2;54;25.584
2;55;25.5
2;56;25.272
2;57;25.102
2;58;24.952
2;59;24.85
2;60;24.798
2;61;24.678
2;62;24.47
2;63;24.17
2;64;23.99
2;65;23.904
2;66;23.788
2;67;23.558
2;68;23.526
2;69;23.42
2;70;23.38
2;71;23.27
2;72;23.034
2;73;22.968
2;74;22.948
2;75;22.742
2;76;22.706
2;77;22.526
2;78;22.492
2;79;22.382
2;80;22.164
2;81;22.064
2;82;21.92
2;83;21.692
2;84;21.688
2;85;21.506
2;86;21.358
2;87;21.532
2;88;21.318
2;89;21.288
2;90;21.11
2;91;21.206
2;92;21.206
2;93;21
2;94;21.118
2;95;21.254
2;96;21.212
2;97;21.1
2;98;21.15
2;99;21.104
2;100;21.23
2;101;21.176
2;102;21.262
2;103;21.13
2;104;21.258
2;105;21.284
2;106;21.074
2;107;21.072
2;108;21.082
2;109;21.232
2;110;21.172
2;111;21.106
2;112;20.966
2;113;21.002
2;114;21.038
2;115;21.156
2;116;21.088
2;117;21.352
2;118;21.526
2;119;21.616
2;120;21.736
2;121;21.872
2;122;21.848
2;123;22.002
2;124;22.32
2;125;22.412
2;126;22.562
2;127;22.682
2;128;22.852
2;129;22.908
2;130;23.084
2;131;23.216
2;132;23.298
2;133;23.544
2;134;23.828
2;135;23.946
2;136;23.904
2;137;24.154
2;138;24.218
2;139;24.286
2;140;24.32
2;141;24.398
2;142;24.364
2;143;24.496
2;144;24.632
2;145;24.666
2;146;24.814
2;147;25.034
2;148;25.306
2;149;25.246
2;150;25.872
2;151;25.964
2;152;26.054
2;153;26.132
2;154;26.172
2;155;26.22
2;156;26.288
2;157;26.342
2;158;26.44
2;159;26.522
2;160;26.702
2;161;26.836
2;162;26.944
2;163;26.902
2;164;26.948
2;165;26.962
2;166;27.08
2;167;27.104
2;168;27.09
